"Total","Percentage","Q1.KEYC","Q2.KeyA","Q2.2.KeyA","Q4.KeyA","Q9.KeyE","Q15.KeyD","researchID"
0,"0%","NV","NV","NV","NV","NV","NV","ab70"
2,"100%","C","A","A","A","B","D","ab70"
0,"0%","NV","NV","NV","NV","NV","NV","as160"
2,"100%","C","B","A","A","A","A","as160"
2,"100%","C","A","A","A","C","D","bb33"
0,"0%","NV","NV","NV","NV","NV","NV","ca62"
0,"0%","NV","NV","NV","NV","NV","NV","ca62"
2,"100%","A","NV","A","NV","A","NV","ca62"
2,"100%","C","B","B","A","D","D","cd102"
2,"100%","C","A","A","A","E","D","ce138"
2,"100%","B","A","B","A","B","A","cj85"
2,"100%","C","A","A","A","A","D","cq54"
0,"0%","NV","NV","NV","NV","NV","NV","cq54"
2,"100%","C","B","B","A","A","C","cx93"
2,"100%","A","B","B","A","B","B","dr56"
2,"100%","C","B","B","A","D","D","eu125"
0,"0%","NV","NV","NV","NV","NV","NV","ev22"
2,"100%","C","B","B","B","D","D","ev22"
0,"0%","NV","NV","NV","NV","NV","NV","ez119"
2,"100%","B","B","B","D","A","A","fg66"
0,"0%","NV","NV","NV","NV","NV","NV","fs47"
2,"100%","C","A","A","C","B","B","fs47"
0,"0%","NV","NV","NV","NV","NV","NV","gm172"
2,"100%","C","NV","B","A","B","D","gm172"
0,"0%","NV","NV","NV","NV","NV","NV","gm172"
2,"100%","C","B","A","C","B","D","gr7"
2,"100%","A","A","A","NV","E","C","gz132"
0,"0%","NV","NV","NV","NV","NV","NV","hc97"
0,"0%","NV","NV","NV","NV","NV","NV","hl94"
0,"0%","NV","NV","NV","NV","NV","NV","hl94"
2,"100%","A","B","B","D","NV","NV","hl94"
2,"100%","C","B","B","A","B","D","ho117"
0,"0%","NV","NV","NV","NV","NV","NV","ho117"
2,"100%","C","A","A","A","A","D","ij80"
2,"100%","C","B","B","A","A","D","il134"
2,"100%","NV","A","B","A","A","D","ix115"
2,"100%","C","B","B","A","E","D","jh167"
2,"100%","NV","B","B","D","C","C","jr82"
0,"0%","NV","NV","NV","NV","NV","NV","js147"
2,"100%","NV","NV","NV","NV","A","NV","js52"
0,"0%","NV","NV","NV","NV","NV","NV","kc69"
2,"100%","C","B","B","C","A","B","kc69"
2,"100%","NV","NV","NV","NV","NV","NV","kj31"
2,"100%","C","B","B","A","A","C","kk83"
2,"100%","C","A","A","C","C","C","kq149"
0,"0%","NV","NV","NV","NV","NV","NV","lp16"
2,"100%","A","B","B","A","A","NV","lp16"
2,"100%","C","B","A","NV","C","A","mk6"
2,"100%","C","B","B","D","C","D","mn113"
2,"100%","C","B","B","A","A","NV","ne71"
0,"0%","NV","NV","NV","NV","NV","NV","pr39"
0,"0%","NV","NV","NV","NV","NV","NV","qf53"
2,"100%","C","A","A","A","B","D","qk1"
2,"100%","C","A","A","A","A","D","qs140"
2,"100%","C","B","B","A","A","D","sa106"
0,"0%","NV","NV","NV","NV","NV","NV","se121"
0,"0%","NV","NV","NV","NV","NV","NV","se121"
2,"100%","C","B","B","A","B","D","se121"
2,"100%","C","B","A","A","A","D","tb139"
2,"100%","C","B","A","A","B","D","tl104"
2,"100%","C","B","B","A","C","D","vk37"
2,"100%","A","B","A","A","A","D","wh38"
2,"100%","A","B","B","A","B","B","wz10"
2,"100%","C","A","A","A","B","B","xu128"
2,"100%","C","B","B","A","C","D","ya79"
0,"0%","NV","NV","NV","NV","NV","NV","ya8"
2,"100%","A","B","A","A","E","NV","ya8"
2,"100%","C","A","A","A","C","D","yb118"
2,"100%","C","B","A","A","A","D","yb87"
2,"100%","C","B","B","A","D","D","yb87"
2,"100%","C","A","A","A","B","D","yd105"
2,"100%","A","A","B","C","E","C","yi5"
0,"0%","NV","NV","NV","NV","NV","NV","za95"
0,"0%","NV","NV","NV","NV","NV","NV","za95"
2,"100%","NV","B","B","C","C","C","zf127"
2,"100%","B","A","A","A","C","D","zu23"
0,"0%","NV","NV","NV","NV","NV","NV","zz133"
2,"100%","NV","A","A","A","A","A",NA
0,"0%","NV","NV","NV","NV","NV","NV",NA
